asn=9004 	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=9004 	id=2   	TSCH	Node: 2  length: 1 on packet ready
asn=9004 	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 1, co: 1]
asn=9004 	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: -1], channel offset=1 timeslot=1[SCHEDULER NEW]
asn=9004 	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=9004 	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 1 acked=true, remove packet[NODE]
asn=9004 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=9004 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9876 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9876 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=9876 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9912 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=9912 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11121	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=11121	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11409	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11409	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=11409	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12000	id=-1  	Main	120 seconds, progress 10.00%[SIMULATOR]
asn=12000	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=12000	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=12000	id=-1  	TSCH	Periodic process called for [Node]
asn=12000	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=12000	id=1   	TSCH	stats: {"idle_listen":7988,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":2,"tx_data":9,"tx_data_rx_ack":0}[NODE]
asn=12000	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=12000	id=2   	TSCH	stats: {"idle_listen":7987,"channel_scan":3,"rx_data":0,"rx_data_tx_ack":0,"tx_data":8,"tx_data_rx_ack":2}[NODE]
asn=12696	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=12696	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12828	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12828	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=12828	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14091	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14091	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=14091	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14277	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=14277	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15005	id=2   	Node	send keepalive packet to=1[NODE]
asn=15005	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=15005	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=15005	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=15005	id=2   	TSCH	Node: 2  length: 1 on packet ready
asn=15005	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 1, co: 1]
asn=15005	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: -1], channel offset=1 timeslot=1[SCHEDULER NEW]
asn=15005	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=15007	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 1 acked=true, remove packet[NODE]
asn=15007	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15007	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15393	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15393	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15393	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15651	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15651	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16641	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16641	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=16641	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=17241	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=17241	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18001	id=-1  	Main	180 seconds, progress 15.00%[SIMULATOR]
asn=18001	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=18001	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=18001	id=-1  	TSCH	Periodic process called for [Node]
asn=18001	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=18001	id=1   	TSCH	stats: {"idle_listen":11984,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":3,"tx_data":13,"tx_data_rx_ack":0}[NODE]
asn=18001	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=18001	id=2   	TSCH	stats: {"idle_listen":11983,"channel_scan":3,"rx_data":0,"rx_data_tx_ack":0,"tx_data":12,"tx_data_rx_ack":3}[NODE]
asn=18156	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18156	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
