asn=1008 	id=5   	Node	scanning on channel=26...[NODE]
asn=1008 	id=10  	Node	scanning on channel=26...[NODE]
asn=1008 	id=8   	Node	scanning on channel=26...[NODE]
asn=1008 	id=2   	Node	scanning on channel=25...[NODE]
asn=1109 	id=2   	Node	scanning on channel=26...[NODE]
asn=1109 	id=4   	Node	scanning on channel=15...[NODE]
asn=1210 	id=6   	Node	scanning on channel=20...[NODE]
asn=1210 	id=4   	Node	scanning on channel=26...[NODE]
asn=1210 	id=5   	Node	scanning on channel=25...[NODE]
asn=1210 	id=10  	Node	scanning on channel=15...[NODE]
asn=1210 	id=8   	Node	scanning on channel=15...[NODE]
asn=1249 	id=1   	RPL	DIO output to -1
asn=1249 	id=1   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=1249 	id=1   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=1249 	id=1   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=1249 	id=1   	TSCH	Node: 1  length: 1 on packet ready
asn=1249 	id=1   	TSCH	schedule packet [src: 1, dest: -1, seqnum: -1], channel offset=0 timeslot=0[SCHEDULER NEW]
asn=1311 	id=8   	Node	scanning on channel=26...[NODE]
asn=1311 	id=10  	Node	scanning on channel=20...[NODE]
asn=1311 	id=5   	Node	scanning on channel=20...[NODE]
asn=1311 	id=4   	Node	scanning on channel=25...[NODE]
asn=1311 	id=6   	Node	scanning on channel=26...[NODE]
asn=1311 	id=2   	Node	scanning on channel=15...[NODE]
asn=1412 	id=8   	Node	scanning on channel=25...[NODE]
asn=1412 	id=4   	Node	scanning on channel=26...[NODE]
asn=1412 	id=6   	Node	scanning on channel=25...[NODE]
asn=1473 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1473 	id=6   	Node	add neighbor id=1 [NODE]
asn=1473 	id=6   	TSCH	joined/associated at 14.73 on receiving an EB packet from 1[NODE]
asn=1473 	id=6   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1473 	id=6   	Node	update time source called [NODE]
asn=1473 	id=6   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1473 	id=6   	RPL	DIS output to -1
asn=1473 	id=6   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=1473 	id=6   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=1473 	id=6   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=1473 	id=6   	TSCH	Node: 6  length: 1 on packet ready
asn=1473 	id=6   	TSCH	schedule packet [src: 6, dest: -1, seqnum: -1], channel offset=0 timeslot=0[SCHEDULER NEW]
asn=1473 	id=6   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1473 	id=7   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1473 	id=8   	Node	add neighbor id=1 [NODE]
asn=1473 	id=8   	TSCH	joined/associated at 14.73 on receiving an EB packet from 1[NODE]
asn=1473 	id=8   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1473 	id=8   	Node	update time source called [NODE]
asn=1473 	id=8   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1473 	id=8   	RPL	DIS output to -1
asn=1473 	id=8   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=1473 	id=8   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=1473 	id=8   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=1473 	id=8   	TSCH	Node: 8  length: 1 on packet ready
asn=1473 	id=8   	TSCH	schedule packet [src: 8, dest: -1, seqnum: -1], channel offset=0 timeslot=0[SCHEDULER NEW]
asn=1473 	id=8   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1473 	id=9   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1473 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1513 	id=2   	Node	scanning on channel=26...[NODE]
asn=1513 	id=5   	Node	scanning on channel=25...[NODE]
asn=1513 	id=4   	Node	scanning on channel=20...[NODE]
asn=1613 	id=2   	Node	scanning on channel=20...[NODE]
asn=1613 	id=5   	Node	scanning on channel=15...[NODE]
asn=1613 	id=10  	Node	scanning on channel=26...[NODE]
asn=1613 	id=4   	Node	scanning on channel=25...[NODE]
asn=1662 	id=7   	RPL	DIS output to -1
asn=1662 	id=7   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=1662 	id=7   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=1662 	id=7   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
