asn=12042	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12670	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12670	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=12670	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=13335	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=13335	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=13846	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=13846	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=13846	id=2   	App	generate a packet, seqnum=4 for=1 [PACKET_SOURCE]
asn=13846	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=13846	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=13846	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=13846	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 4], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=13846	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=13847	id=1   	App	rx app packet seqnum=4 from=2 at cell [ts: 2, co: 2][NODE]
asn=13847	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=4 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=13847	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=13847	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14210	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14210	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=14210	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14352	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=14352	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=14352	id=2   	App	generate a packet, seqnum=5 for=1 [PACKET_SOURCE]
asn=14352	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=14352	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=14352	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=14352	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 5], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=14352	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=14352	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=5 packet buffer: timeslot: 2 channel offset: 2 acked=false[NODE]
asn=14362	id=1   	App	rx app packet seqnum=5 from=2 at cell [ts: 2, co: 2][NODE]
asn=14362	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=2 seqnum=5 packet buffer: timeslot: 2 channel offset: 2 acked=false[NODE]
asn=14367	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=3 seqnum=5 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=14367	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=14367	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15196	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=15196	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=15196	id=2   	App	generate a packet, seqnum=6 for=1 [PACKET_SOURCE]
asn=15196	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=15196	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=15196	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=15196	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 6], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=15196	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=15197	id=1   	App	rx app packet seqnum=6 from=2 at cell [ts: 2, co: 2][NODE]
asn=15197	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=6 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=15197	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15197	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15465	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15465	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15465	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16750	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16750	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=16750	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16784	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=16784	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=16784	id=2   	App	generate a packet, seqnum=7 for=1 [PACKET_SOURCE]
asn=16784	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=16784	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=16784	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=16784	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 7], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=16784	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=16787	id=1   	App	rx app packet seqnum=7 from=2 at cell [ts: 2, co: 2][NODE]
asn=16787	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=7 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=16787	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=16787	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=17010	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=17010	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=17450	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=17450	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=17450	id=2   	App	generate a packet, seqnum=8 for=1 [PACKET_SOURCE]
asn=17450	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=17450	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=17450	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=17450	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 8], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=17450	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=17452	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=8 packet buffer: timeslot: 2 channel offset: 2 acked=false[NODE]
asn=17462	id=1   	App	rx app packet seqnum=8 from=2 at cell [ts: 2, co: 2][NODE]
asn=17462	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=2 seqnum=8 packet buffer: timeslot: 2 channel offset: 2 acked=false[NODE]
asn=17477	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=3 seqnum=8 packet buffer: timeslot: 2 channel offset: 2 acked=false[NODE]
